6 1
5/14/2024 5:04 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.22333	
//WLCalib: 261S 	-0.23000	
//WLCalib: 362S 	-0.59000	
//WLCalib: 484S 	-0.30000	
//WLCalib: 529S 	-0.11000	
//WLCalib: 823S 	-0.54000	
//QSpecEnd: 
190.0	10.666
190.5	10.782
191.0	10.853
191.5	10.877
192.0	10.866
192.5	11.105
193.0	11.214
193.5	11.131
194.0	11.088
194.5	10.989
195.0	10.749
195.5	10.524
196.0	10.298
196.5	10.119
197.0	10.135
197.5	10.155
198.0	10.130
198.5	10.060
199.0	9.969
199.5	9.873
200.0	9.726
200.5	9.650
201.0	9.535
201.5	9.414
202.0	9.333
202.5	9.223
203.0	9.111
203.5	9.010
204.0	8.904
204.5	8.787
205.0	8.666
205.5	8.562
206.0	8.438
206.5	8.275
207.0	8.209
207.5	8.079
208.0	7.969
208.5	7.884
209.0	7.848
209.5	7.747
210.0	7.639
210.5	7.521
211.0	7.398
211.5	7.317
212.0	7.204
212.5	7.108
213.0	7.031
213.5	6.947
214.0	6.902
214.5	6.785
215.0	6.690
215.5	6.571
216.0	6.429
216.5	6.307
217.0	6.203
217.5	6.131
218.0	6.047
218.5	5.972
219.0	5.914
219.5	5.856
220.0	5.817
220.5	5.765
221.0	5.691
221.5	5.649
222.0	5.604
222.5	5.570
223.0	5.527
223.5	5.485
224.0	5.434
224.5	5.394
225.0	5.358
225.5	5.309
226.0	5.252
226.5	5.195
227.0	5.125
227.5	5.067
228.0	5.019
228.5	4.982
229.0	4.938
229.5	4.904
230.0	4.878
230.5	4.859
231.0	4.824
231.5	4.785
232.0	4.730
232.5	4.679
233.0	4.629
233.5	4.577
234.0	4.529
234.5	4.480
235.0	4.448
235.5	4.412
236.0	4.369
236.5	4.322
237.0	4.278
237.5	4.252
238.0	4.215
238.5	4.184
239.0	4.146
239.5	4.108
240.0	4.070
240.5	4.033
241.0	3.998
241.5	3.958
242.0	3.931
242.5	3.906
243.0	3.884
243.5	3.869
244.0	3.850
244.5	3.834
245.0	3.812
245.5	3.787
246.0	3.759
246.5	3.729
247.0	3.700
247.5	3.678
248.0	3.666
248.5	3.658
249.0	3.652
249.5	3.646
250.0	3.628
250.5	3.609
251.0	3.585
251.5	3.564
252.0	3.540
252.5	3.521
253.0	3.511
253.5	3.505
254.0	3.501
254.5	3.493
255.0	3.480
255.5	3.464
256.0	3.452
256.5	3.439
257.0	3.430
257.5	3.422
258.0	3.419
258.5	3.413
259.0	3.406
259.5	3.397
260.0	3.389
260.5	3.382
261.0	3.380
261.5	3.377
262.0	3.377
262.5	3.358
263.0	3.343
263.5	3.331
264.0	3.327
264.5	3.319
265.0	3.316
265.5	3.316
266.0	3.317
266.5	3.317
267.0	3.307
267.5	3.292
268.0	3.281
268.5	3.276
269.0	3.277
269.5	3.271
270.0	3.271
270.5	3.273
271.0	3.266
271.5	3.257
272.0	3.252
272.5	3.245
273.0	3.233
273.5	3.230
274.0	3.233
274.5	3.229
275.0	3.224
275.5	3.215
276.0	3.200
276.5	3.193
277.0	3.188
277.5	3.180
278.0	3.167
278.5	3.161
279.0	3.157
279.5	3.140
280.0	3.128
280.5	3.116
281.0	3.105
281.5	3.099
282.0	3.089
282.5	3.080
283.0	3.066
283.5	3.063
284.0	3.050
284.5	3.033
285.0	3.023
285.5	3.014
286.0	3.000
286.5	2.988
287.0	2.971
287.5	2.959
288.0	2.948
288.5	2.936
289.0	2.916
289.5	2.898
290.0	2.886
290.5	2.869
291.0	2.849
291.5	2.834
292.0	2.816
292.5	2.803
293.0	2.786
293.5	2.766
294.0	2.749
294.5	2.737
295.0	2.728
295.5	2.713
296.0	2.697
296.5	2.681
297.0	2.664
297.5	2.650
298.0	2.640
298.5	2.622
299.0	2.609
299.5	2.593
300.0	2.585
300.5	2.577
301.0	2.563
301.5	2.550
302.0	2.543
302.5	2.534
303.0	2.531
303.5	2.518
304.0	2.506
304.5	2.494
305.0	2.488
305.5	2.475
306.0	2.459
306.5	2.450
307.0	2.439
307.5	2.431
308.0	2.426
308.5	2.419
309.0	2.410
309.5	2.402
310.0	2.393
310.5	2.379
311.0	2.372
311.5	2.363
312.0	2.352
312.5	2.344
313.0	2.337
313.5	2.326
314.0	2.316
314.5	2.309
315.0	2.296
315.5	2.288
